Skillset-직무연계,Skill set,코드,Skillset-직무연계
Front-end Dev. (Software Dev.직무),Front-end Dev.,S-1,Front-end Dev. (Software Dev.직무)
Back-end Dev. (Software Dev.직무),Back-end Dev..,S-2,Back-end Dev. (Software Dev.직무)
Mobile Dev. (Software Dev.직무),Mobile Dev. .,S-3,Mobile Dev. (Software Dev.직무)
Factory 기획/설계 (Manufacturing Eng.직무),Factory 기획/설계.,S-4,Factory 기획/설계 (Manufacturing Eng.직무)
자동화 Eng. (Manufacturing Eng.직무),자동화 Eng..,S-5,자동화 Eng. (Manufacturing Eng.직무)
지능화 Eng. (Manufacturing Eng.직무),지능화 Eng. ,S-6,지능화 Eng. (Manufacturing Eng.직무)
ERP_FCM (Solution Dev.직무),ERP_FCM,S-7,ERP_FCM (Solution Dev.직무)
ERP_SCM (Solution Dev.직무),ERP_SCM ,S-8,ERP_SCM (Solution Dev.직무)
ERP_HCM (Solution Dev.직무),ERP_HCM,S-9,ERP_HCM (Solution Dev.직무)
ERP_T&E (Solution Dev.직무),ERP_T&E,S-10,ERP_T&E (Solution Dev.직무)
Biz. Solution (Solution Dev.직무),Biz. Solution,S-11,Biz. Solution (Solution Dev.직무)
System/Network Eng. (Cloud/Infra Eng.직무),System/Network Eng.,S-12,System/Network Eng. (Cloud/Infra Eng.직무)
Middleware/Database Eng. (Cloud/Infra Eng.직무),Middleware/Database Eng.,S-13,Middleware/Database Eng. (Cloud/Infra Eng.직무)
Data Center Eng. (Cloud/Infra Eng.직무),Data Center Eng. ,S-14,Data Center Eng. (Cloud/Infra Eng.직무)
Cyber Security (Cloud/Infra Eng.직무),Cyber Security,S-15,Cyber Security (Cloud/Infra Eng.직무)
Application Architect (Architect 직무),Application Architect,S-16,Application Architect (Architect 직무)
Data Architect (Architect 직무),Data Architect,S-17,Data Architect (Architect 직무)
Technical Architect (Architect 직무),Technical Architect ,S-18,Technical Architect (Architect 직무)
Infra PM (Project Mgmt. 직무),Infra PM,P-1,Infra PM (Project Mgmt. 직무)
Application PM (Project Mgmt. 직무),Application PM ,P-2,Application PM (Project Mgmt. 직무)
Infra PM (Project Mgmt. 직무),Infra PM,P-3,Infra PM (Project Mgmt. 직무)
Solution PM (Project Mgmt. 직무),Solution PM,P-4,Solution PM (Project Mgmt. 직무)
PMO (Quality Mgmt. 직무),PMO,S-23,PMO (Quality Mgmt. 직무)
Quality Eng. (Quality Mgmt. 직무),Quality Eng.,S-24,Quality Eng. (Quality Mgmt. 직무)
Offshoring Service Professional (Quality Mgmt. 직무),Offshoring Service Professional,S-25,Offshoring Service Professional (Quality Mgmt. 직무)
AI/Data Dev. (AIX 직무),AI/Data Dev.,S-26,AI/Data Dev. (AIX 직무)
Generative AI Dev. (AIX 직무),Generative AI Dev. ,S-27,Generative AI Dev. (AIX 직무)
Generative AI Model Dev. (AIX 직무),Generative AI Model Dev.,S-28,Generative AI Model Dev. (AIX 직무)
Sales (영업),Sales,S-29,Sales (영업)
"Domain Expert (사업관리/개발/제안, PL)",Domain Expert,S-30,"Domain Expert (사업관리/개발/제안, PL)"
ESG/SHE (Biz. Consulting 직무),ESG/SHE,S-31,ESG/SHE (Biz. Consulting 직무)
ERP (Biz. Consulting 직무),ERP,S-32,ERP (Biz. Consulting 직무)
SCM (Biz. Consulting 직무),SCM,S-33,SCM (Biz. Consulting 직무)
CRM (Biz. Consulting 직무),CRM,S-34,CRM (Biz. Consulting 직무)
AIX (Biz. Consulting 직무),AIX,S-35,AIX (Biz. Consulting 직무)
Strategy Planning (Biz. Supporting 직무),Strategy Planning,S-36,Strategy Planning (Biz. Supporting 직무)
New Biz. Dev. (Biz. Supporting 직무),New Biz. Dev.,S-37,New Biz. Dev. (Biz. Supporting 직무)
Financial Mgmt. (Biz. Supporting 직무),Financial Mgmt.,S-38,Financial Mgmt. (Biz. Supporting 직무)
Human Resource Mgmt. (Biz. Supporting 직무),Human Resource Mgmt. ,S-39,Human Resource Mgmt. (Biz. Supporting 직무)
Stakeholder Mgmt. (Biz. Supporting 직무),Stakeholder Mgmt. ,S-40,Stakeholder Mgmt. (Biz. Supporting 직무)
Governance & Public Mgmt. (Biz. Supporting 직무),Governance & Public Mgmt.,S-41,Governance & Public Mgmt. (Biz. Supporting 직무)
기타,기타,S-42,기타
Infra PM (Project Mgmt. 직무) -- 대형PM,Infra PM  -- 대형PM,P-1a,Infra PM (Project Mgmt. 직무) -- 대형PM
Application PM (Project Mgmt. 직무) -- 대형PM,Application PM -- 대형PM,P-2a,Application PM (Project Mgmt. 직무) -- 대형PM
Infra PM (Project Mgmt. 직무) -- 대형PM,Infra PM -- 대형PM,P-3a,Infra PM (Project Mgmt. 직무) -- 대형PM
Solution PM (Project Mgmt. 직무) -- 대형PM,Solution PM -- 대형PM,P-4a,Solution PM (Project Mgmt. 직무) -- 대형PM